"type","duration","distance","hour","day","month","year"
"scooter",269,715,15,2,9,2018
"scooter",105,0,18,2,9,2018
"scooter",680,2473,13,2,9,2018
"scooter",663,0,1,6,9,2018
"scooter",248,0,20,0,9,2018
"scooter",312,573,11,4,9,2018
"scooter",618,2392,10,4,9,2018
"scooter",140,0,20,6,9,2018
"scooter",1401,4581,10,6,9,2018
"scooter",326,500,18,6,9,2018
"scooter",304,262,19,0,9,2018
"scooter",251,41,16,6,9,2018
"scooter",589,1474,16,0,9,2018
"scooter",577,2007,18,3,9,2018
"scooter",1605,1201,15,0,9,2018
"scooter",96,0,16,6,9,2018
"scooter",324,710,18,4,9,2018
"bicycle",1514,7677,16,5,9,2018
"scooter",527,853,17,6,9,2018
"bicycle",681,2527,21,4,9,2018
"scooter",352,0,14,4,9,2018
"scooter",181,589,13,4,9,2018
"scooter",783,1042,14,6,9,2018
"scooter",228,501,13,0,9,2018
"bicycle",520,1770,2,6,9,2018
"scooter",43,15,19,6,9,2018
"scooter",806,2068,10,0,9,2018
"scooter",1742,3359,18,3,9,2018
"scooter",333,1090,11,0,9,2018
"scooter",545,286,14,6,9,2018
"scooter",203,425,15,4,9,2018
"scooter",252,200,17,3,9,2018
"scooter",362,0,8,1,9,2018
"scooter",325,554,20,5,9,2018
"scooter",216,645,14,0,9,2018
"scooter",148,254,12,4,9,2018
"scooter",418,867,11,3,9,2018
"scooter",214,698,16,3,9,2018
"scooter",131,360,16,0,9,2018
"scooter",386,0,10,1,9,2018
"scooter",399,945,16,5,9,2018
"scooter",1676,5300,15,5,9,2018
"scooter",245,969,7,5,9,2018
"scooter",58,0,2,6,9,2018
"scooter",345,1133,17,4,9,2018
"bicycle",271,1175,16,6,9,2018
"scooter",530,3220,3,6,9,2018
"bicycle",1393,6582,17,5,9,2018
"scooter",53,0,12,0,9,2018
"scooter",670,1728,18,2,9,2018
"scooter",97,0,19,3,9,2018
"scooter",696,0,19,0,9,2018
"scooter",1115,2501,14,2,9,2018
"scooter",180,315,16,4,9,2018
"scooter",903,700,12,3,9,2018
"scooter",220,600,15,3,9,2018
"scooter",347,1103,11,3,9,2018
"bicycle",323,1271,11,2,9,2018
"scooter",206,452,11,5,9,2018
"scooter",538,1636,7,1,9,2018
"scooter",552,1911,13,3,9,2018
"scooter",173,220,15,0,9,2018
"scooter",70,80,13,0,9,2018
"scooter",748,2144,14,0,9,2018
"scooter",763,1817,11,6,9,2018
"scooter",247,0,13,1,9,2018
"scooter",344,420,15,5,9,2018
"scooter",592,568,19,6,9,2018
"scooter",365,1010,19,1,9,2018
"scooter",272,1221,12,3,9,2018
"scooter",282,1057,16,4,9,2018
"scooter",47,88,19,6,9,2018
"scooter",660,1871,0,3,9,2018
"scooter",507,769,18,1,9,2018
"scooter",127,0,20,5,9,2018
"scooter",829,2345,17,3,9,2018
"scooter",363,537,16,3,9,2018
"scooter",7587,5771,9,0,9,2018
"scooter",723,761,17,3,9,2018
"scooter",252,553,14,6,9,2018
"scooter",779,2344,16,1,9,2018
"scooter",86,47,15,5,9,2018
"scooter",471,988,23,5,9,2018
"scooter",306,1798,8,0,9,2018
"scooter",637,2860,8,6,9,2018
"scooter",412,1200,16,4,9,2018
"scooter",786,1968,17,3,9,2018
"scooter",184,38,16,5,9,2018
"scooter",298,1222,8,4,9,2018
"scooter",1128,2598,17,2,9,2018
"scooter",713,1084,23,5,9,2018
"scooter",209,764,11,4,9,2018
"scooter",1754,138,17,6,9,2018
"scooter",597,768,12,0,9,2018
"scooter",356,1297,17,6,9,2018
"scooter",530,1914,18,6,9,2018
"scooter",218,404,11,0,9,2018
"scooter",168,701,13,0,9,2018
"scooter",364,515,16,0,9,2018
"scooter",408,1100,11,2,9,2018
"scooter",62,85,14,4,9,2018
"scooter",316,1264,9,6,9,2018
"scooter",300,735,11,2,9,2018
"scooter",261,0,16,3,9,2018
"scooter",321,0,12,2,9,2018
"scooter",523,2273,20,6,9,2018
"scooter",1200,0,17,1,9,2018
"scooter",146,61,13,4,9,2018
"scooter",327,1362,12,2,9,2018
"scooter",68,77,13,0,9,2018
"scooter",186,86,12,6,9,2018
"scooter",1636,498,20,3,9,2018
"scooter",385,0,20,2,9,2018
"scooter",107,0,13,0,9,2018
"scooter",493,1798,15,5,9,2018
"scooter",542,1193,16,2,9,2018
"scooter",205,890,12,3,9,2018
"scooter",152,475,20,2,9,2018
"scooter",445,399,15,5,9,2018
"scooter",578,0,16,1,9,2018
"scooter",149,286,16,6,9,2018
"scooter",705,864,8,5,9,2018
"scooter",239,1104,20,4,9,2018
"scooter",2300,6146,16,6,9,2018
"scooter",193,387,13,6,9,2018
"scooter",918,2979,20,6,9,2018
"scooter",229,0,21,4,9,2018
"scooter",519,1131,15,4,9,2018
"bicycle",1015,3412,17,6,9,2018
"bicycle",5405,18089,22,4,9,2018
"scooter",198,267,20,3,9,2018
"scooter",171,455,12,5,9,2018
"bicycle",300,933,13,1,9,2018
"scooter",159,4,14,1,9,2018
"scooter",191,719,10,5,9,2018
"scooter",272,810,19,2,9,2018
"scooter",413,265,11,0,9,2018
"scooter",176,640,12,1,9,2018
"scooter",973,1990,14,6,9,2018
"scooter",285,712,9,6,9,2018
"scooter",432,758,15,0,9,2018
"scooter",132,271,21,3,9,2018
"scooter",1029,0,18,3,9,2018
"scooter",1300,5203,12,6,9,2018
"scooter",175,228,8,2,9,2018
"scooter",1113,3317,16,5,9,2018
"scooter",807,718,20,6,9,2018
"scooter",593,1560,16,1,9,2018
